actor_1_name,genres,score,actor_1_facebook_likes,Num
Brigitte Helm,Drama|Sci-Fi,8.3,136,1
Bob Balaban,Drama|Sci-Fi,7.7,559,1
Alexander Skarsg?rd,Drama|Sci-Fi,7.1,10000,1
Scarlett Johansson,Drama|Romance|Western,6.5,19000,1
Robert Duvall,Drama|Romance|Western,7.5,3000,1
Montgomery Clift,Drama|Romance|Western,7.4,862,1
Milla Jovovich,Drama|Romance|Western,6.5,28000,2
Matt Damon,Drama|Romance|Western,5.8,13000,1
Joseph Cotten,Drama|Romance|Western,6.9,469,1
James Drury,Drama|Romance|Western,6.2,356,1
Jeremy W. Auman,Drama|Romance|War|Western,6.8,3,1
Anthony Hopkins,Drama|Romance|War|Western,7.5,12000,1
Viggo Mortensen,Drama|Romance|War,6.2,10000,1
Steve Buscemi,Drama|Romance|War,7.2,12000,1
Nandita Das,Drama|Romance|War,7.8,113,1
Myrna Loy,Drama|Romance|War,8.1,749,1
Montgomery Clift,Drama|Romance|War,7.8,862,1
Marcell Nagy,Drama|Romance|War,7.1,9,1
Julie Christie,Drama|Romance|War,8,597,1
John Gilbert,Drama|Romance|War,8.3,81,1
Jelena Jovanova,Drama|Romance|War,4.3,306,1
Humphrey Bogart,Drama|Romance|War,8.6,2000,1
